Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Daily_Return,Volatility,Log_Return,Cumulative_Return
2011-06-01,MUNDRAPORT,EQ,161.45,162.1,165.7,161.25,163.5,164.0,164.08,2574106,42237032995000.0,19171.0,1271255,0.4939,0.015794363580055926,10.510857794712424,,1.015794363580056
2011-06-02,MUNDRAPORT,EQ,164.0,164.0,165.15,160.15,161.15,161.25,162.17,1699298,27556778660000.004,16176.0,791462,0.4658,-0.01676829268292679,10.37696588865673,-0.01691047214831651,0.9987612263858782
2011-06-03,MUNDRAPORT,EQ,161.25,161.5,162.8,159.2,161.0,161.05,161.02,1185817,19093606125000.0,14810.0,722154,0.609,-0.0012403100775193465,10.260435958298274,-0.0012410798986740048,0.9975224527717562
2011-06-06,MUNDRAPORT,EQ,161.05,160.5,161.1,159.05,160.0,159.85,160.09,546378,8746904709999.999,7071.0,386144,0.7067,-0.007451102142192023,9.711874175549404,-0.007479000271357537,0.990089811087024
2011-06-07,MUNDRAPORT,EQ,159.85,159.85,162.75,156.35,157.0,157.25,158.52,2193466,34770271165000.0,17865.0,1425849,0.65,-0.01626524867062873,9.28341581597129,-0.016398979925300563,0.9739857541034377
2011-06-08,MUNDRAPORT,EQ,157.25,157.4,158.7,153.3,155.65,154.9,155.48,1431303,22253824685000.0,15027.0,931903,0.6511,-0.014944356120826674,8.548980779608588,-0.015057148157726923,0.959430164137504
2011-06-09,MUNDRAPORT,EQ,154.9,155.05,157.4,153.15,154.8,154.95,155.01,867109,13440958440000.0,6077.0,495942,0.5719,0.00032278889606196515,7.398886829617112,0.0003227368109342872,0.9597398575410345
2011-06-10,MUNDRAPORT,EQ,154.95,155.4,155.4,150.3,151.95,152.0,152.42,838559,12780957555000.0,9369.0,513802,0.6127,-0.019038399483704338,6.580581481394221,-0.01922196338748077,0.9414679467327348
2011-06-13,MUNDRAPORT,EQ,152.0,152.45,155.4,150.05,155.05,154.75,152.87,749987,11464905285000.0,8790.0,330159,0.4402,0.018092105263157965,5.611066954698345,0.01793039071842916,0.9585010839269127
2011-06-14,MUNDRAPORT,EQ,154.75,154.95,157.75,154.35,157.05,156.55,155.96,599387,9348060950000.0,7620.0,290386,0.4845,0.011631663974151829,5.141072998959644,0.011564536207709192,0.9696500464540109
2011-06-15,MUNDRAPORT,EQ,156.55,156.0,158.6,153.25,153.5,154.25,156.34,956161,14949097815000.0,7987.0,482061,0.5042,-0.01469179175982116,4.9057190042899785,-0.014800784986917526,0.9554041498916076
2011-06-16,MUNDRAPORT,EQ,154.25,153.3,153.9,150.75,152.5,151.55,151.74,1145520,17381942015000.0,9192.0,772713,0.6746,-0.017504051863857284,4.28769582969663,-0.017659059281684944,0.9386807061009604
2011-06-17,MUNDRAPORT,EQ,151.55,150.95,152.35,147.25,147.9,148.2,148.69,696910,10362615235000.0,7341.0,262002,0.3759,-0.02210491586935015,4.265130960116604,-0.02235289064182575,0.9179312480644165
2011-06-20,MUNDRAPORT,EQ,148.2,149.8,150.0,141.4,147.45,147.15,147.18,1207293,17769380270000.0,17561.0,759767,0.6293,-0.007085020242914908,4.490647445009098,-0.0071102381825046595,0.911427686590276
2011-06-21,MUNDRAPORT,EQ,147.15,148.0,149.8,144.5,148.0,148.35,147.78,1088170,16081242130000.002,12376.0,607701,0.5585,0.00815494393476035,4.692965059992962,0.008121872057348933,0.918860328275008
2011-06-22,MUNDRAPORT,EQ,148.35,149.9,150.6,146.5,147.5,148.1,148.05,487689,7220338209999.999,9208.0,233062,0.4779,-0.001685203909673083,4.947510671417454,-0.0016866254630777263,0.9173118612573554
2011-06-23,MUNDRAPORT,EQ,148.1,148.2,151.5,144.0,151.25,150.15,148.18,1194788,17704695015000.0,10724.0,624881,0.523,0.01384199864956126,5.016263025253634,0.013747073155586336,0.9300092908021063
2011-06-24,MUNDRAPORT,EQ,150.15,151.0,155.9,151.0,153.95,154.3,154.09,851591,13122000525000.0,11038.0,425430,0.4996,0.027639027639027702,4.994293454228286,0.027263964939775932,0.9557138432951382
2011-06-27,MUNDRAPORT,EQ,154.3,154.5,157.8,153.45,156.4,156.25,156.59,1615697,25300243280000.0,10662.0,1150747,0.7122,0.01263771872974706,5.00200223085453,0.012558529247395542,0.9677918860328277
2011-06-28,MUNDRAPORT,EQ,156.25,156.55,158.85,156.55,157.15,157.1,157.37,1127185,17738333690000.0,9733.0,824201,0.7312000000000001,0.005439999999999889,4.788321181638416,0.005425256645064483,0.9730566738928462
2011-06-29,MUNDRAPORT,EQ,157.1,153.1,159.0,151.6,157.3,157.1,157.14,1022281,16064415450000.0,15243.0,742264,0.7261,0.0,4.298759766258408,0.0,0.9730566738928462
2011-06-30,MUNDRAPORT,EQ,157.1,158.85,163.25,157.05,161.95,161.95,161.61,2743578,44339097860000.0,23067.0,1562172,0.5694,0.030872056015276872,4.361128385081067,0.03040510035576281,1.003096934035305
2011-07-01,MUNDRAPORT,EQ,161.95,163.0,164.95,160.65,162.2,162.35,162.46,641406,10419966445000.0,7272.0,244576,0.3813,0.002469898116702618,4.475414564931573,0.0024668529315165872,1.005574481263549
2011-07-04,MUNDRAPORT,EQ,162.35,162.35,164.0,160.25,160.25,160.85,161.61,508395,8216273440000.001,3975.0,312231,0.6142000000000001,-0.009239297813366187,4.545109430863882,-0.009282244863819608,0.9962836791576338
2011-07-05,MUNDRAPORT,EQ,160.85,161.25,161.9,159.25,160.2,159.9,160.11,376300,6024833870000.0,11165.0,152419,0.405,-0.005906123717749345,4.669416170155138,-0.005923633845126695,0.9903995044905544
2011-07-06,MUNDRAPORT,EQ,159.9,159.5,164.0,159.45,161.0,161.0,162.07,681135,11039272745000.0,7708.0,322860,0.474,0.0068792995622264375,4.8885903685170655,0.006855745144554494,0.9972127593682255
2011-07-07,MUNDRAPORT,EQ,161.0,162.0,165.75,159.65,162.25,162.05,163.17,1081191,17642042805000.0,10605.0,449792,0.416,0.006521739130434856,5.147914754293465,0.006500564603093463,1.0037163208423663
2011-07-08,MUNDRAPORT,EQ,162.05,162.55,162.6,157.1,157.8,157.85,159.86,360582,5764143605000.0,5813.0,167788,0.4653,-0.025917926565874883,5.122958515257589,-0.026259714583555884,0.9777020749458037
2011-07-11,MUNDRAPORT,EQ,157.85,156.5,158.5,155.0,157.7,157.1,156.86,437792,6867089030000.0,5990.0,120107,0.2743,-0.00475134621476081,5.132094576147589,-0.004762669742425147,0.9730566738928462
2011-07-12,MUNDRAPORT,EQ,157.1,155.3,156.7,153.5,153.65,153.9,154.96,673388,10434631475000.0,13300.0,247680,0.3678,-0.020369191597708447,5.140614211878391,-0.020579504416741914,0.953236296066894
2011-07-13,MUNDRAPORT,EQ,153.9,154.65,156.6,152.55,154.4,154.5,154.36,721657,11139383155000.0,14568.0,436312,0.6046,0.0038986354775827348,5.1377882812290405,0.0038910554929665006,0.9569526169092599
2011-07-14,MUNDRAPORT,EQ,154.5,152.55,157.9,152.0,157.8,156.8,155.98,712244,11109511075000.0,6394.0,396612,0.5568,0.014886731391585917,5.059682614510086,0.014777011578507474,0.9711985134716633
2011-07-15,MUNDRAPORT,EQ,156.8,156.7,158.85,154.45,157.0,156.75,156.91,520139,8161455975000.0,5212.0,148089,0.2847,-0.0003188775510204467,4.73948975730237,-0.00031892840327743516,0.9708888200681327
2011-07-18,MUNDRAPORT,EQ,156.75,156.5,158.05,154.05,154.3,154.85,155.78,286868,4468783570000.0,3807.0,119815,0.4177,-0.0121212121212122,4.255850462548317,-0.012195273093818355,0.9591204707339734
2011-07-19,MUNDRAPORT,EQ,154.85,154.8,161.2,153.25,160.5,160.4,157.73,1099870,17348509575000.0,8995.0,466194,0.4239,0.035841136583790734,3.8676415704490155,0.03521378901320229,0.9934964385258594
2011-07-20,MUNDRAPORT,EQ,160.4,161.3,162.65,155.0,155.4,155.95,158.51,1424292,22576184155000.0,13672.0,752481,0.5283,-0.027743142144638466,3.2482748460311486,-0.028135252378601917,0.9659337256116445
2011-07-21,MUNDRAPORT,EQ,155.95,156.45,158.85,154.1,157.5,157.35,156.58,1069969,16753210410000.0,13277.0,654370,0.6116,0.008977236293683966,2.744281135204927,0.008937180456603699,0.9746051409104987
2011-07-22,MUNDRAPORT,EQ,157.35,158.45,161.5,157.9,160.6,160.75,160.39,1679870,26943857590000.0,16708.0,1116509,0.6646,0.021607880521131273,2.6752213389172868,0.02137773960731293,0.995664292350573
2011-07-25,MUNDRAPORT,EQ,160.75,161.0,161.8,158.1,159.0,158.95,159.17,1385495,22053226490000.0,20686.0,1030633,0.7439,-0.011197511664074677,2.6375065480762863,-0.011260675760917086,0.9845153298234748
2011-07-26,MUNDRAPORT,EQ,158.95,159.5,163.0,158.1,158.65,158.9,160.3,1150173,18437531130000.0,17104.0,681866,0.5928,-0.00031456432840504256,2.622467450319845,-0.0003146138141412987,0.9842056364199444
2011-07-27,MUNDRAPORT,EQ,158.9,159.8,160.5,155.6,156.3,156.25,157.14,495383,7784305584999.999,6646.0,261722,0.5283,-0.016677155443675318,2.6524268930027204,-0.016817784926159467,0.9677918860328276
2011-07-28,MUNDRAPORT,EQ,156.25,155.35,160.0,154.0,155.25,154.95,156.16,1243690,19421738170000.0,12249.0,800735,0.6437999999999999,-0.008320000000000105,2.6237979707184773,-0.00835480438275374,0.9597398575410344
2011-07-29,MUNDRAPORT,EQ,154.95,154.05,156.4,135.25,142.05,143.55,144.2,4895210,70588281150000.0,36931.0,1891131,0.3863,-0.07357212003872204,4.01078808394406,-0.07641907766668415,0.8891297615360795
2011-08-01,MUNDRAPORT,EQ,143.55,147.5,150.9,144.0,145.4,145.1,145.95,3708191,54120483765000.0,26062.0,2208084,0.5955,0.01079763148728663,4.724635185202963,0.010739753323069172,0.8987302570455251
2011-08-02,MUNDRAPORT,EQ,145.1,145.25,145.7,138.15,140.55,141.55,141.93,1475136,20937342190000.0,14952.0,460582,0.3122,-0.02446588559614049,5.682139608281191,-0.02477014833223345,0.8767420253948593
2011-08-03,MUNDRAPORT,EQ,141.55,139.4,144.3,137.0,143.8,142.7,140.95,1009315,14226287669999.998,10983.0,458529,0.4543,0.008124337689862093,6.188053005726875,0.00809151292488198,0.8838649736760609
2011-08-04,MUNDRAPORT,EQ,142.7,143.2,144.8,136.75,138.0,138.15,140.36,3306069,46403108555000.0,26706.0,1166751,0.3529,-0.03188507358093895,6.91978665640139,-0.0324044731133651,0.855682873954785
2011-08-05,MUNDRAPORT,EQ,138.15,134.95,141.0,132.0,140.5,139.75,138.65,9280860,128681325075000.0,14026.0,8597655,0.9264,0.011581614187477385,7.458121677008315,0.011515060665783002,0.8655930628677612
2011-08-08,MUNDRAPORT,EQ,139.75,135.45,140.5,134.0,136.9,136.15,138.22,3743566,51742021195000.0,9027.0,3266817,0.8726,-0.025760286225402496,8.199147500718523,-0.026097892915439926,0.8432951378135648
2011-08-09,MUNDRAPORT,EQ,136.15,133.95,138.0,130.0,132.75,133.45,133.19,997026,13279157850000.0,10280.0,356502,0.3576,-0.019831068674256436,9.092515719368516,-0.020030343269235563,0.8265716940229174
2011-08-10,MUNDRAPORT,EQ,133.45,136.35,139.7,134.9,137.0,137.95,137.88,2270284,31301749410000.004,8157.0,1878208,0.8273,0.03372049456725357,9.440434799956497,0.03316442481276186,0.8544441003406628
2011-08-11,MUNDRAPORT,EQ,137.95,136.0,138.2,134.25,135.6,135.45,136.34,1536864,20953825730000.0,11729.0,1108939,0.7216,-0.018122508155128725,9.774212850343114,-0.018288732132191027,0.8389594301641374
2011-08-12,MUNDRAPORT,EQ,135.45,137.2,137.85,135.0,136.8,136.45,136.18,1540298,20975622115000.0,4741.0,1286503,0.8351999999999999,0.007382798080472597,9.919337838767543,0.007355678623243457,0.8451532982347476
2011-08-16,MUNDRAPORT,EQ,136.45,132.0,142.85,132.0,138.85,139.7,139.77,1041466,14556798055000.002,12467.0,684906,0.6576000000000001,0.02381824844265301,9.90133530344202,0.023539019108568676,0.8652833694642305
2011-08-17,MUNDRAPORT,EQ,139.7,139.4,141.3,136.05,138.75,138.6,137.98,666711,9199110495000.0,6603.0,345757,0.5186,-0.007874015748031482,9.502496555705306,-0.007905179507113261,0.8584701145865593
2011-08-18,MUNDRAPORT,EQ,138.6,139.1,140.75,134.45,135.0,136.45,138.07,5314420,73377091070000.0,6183.0,5012953,0.9433,-0.015512265512265588,9.38239217345224,-0.01563383960145546,0.8451532982347475
2011-08-19,MUNDRAPORT,EQ,136.45,133.0,137.95,131.95,135.7,136.3,137.0,3919879,53702777825000.0,11340.0,3501838,0.8934000000000001,-0.0010993037742761391,9.052607940700875,-0.0010999084518603952,0.8442242180241561
